EVENT_ID,STATE,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
142233,MISSISSIPPI,2008,December,EF0,,-89.9883,,-89.97,0,0,0,0,0.00K
142234,MISSISSIPPI,2008,December,EF1,,-89.9,,-89.851,0,0,0,0,100.00K
135136,NORTH CAROLINA,2008,November,EF1,,-78.4554,,-78.4582,0,0,0,0,30.00K
141687,MISSISSIPPI,2008,December,EF0,,-90.3922,,-90.3607,0,0,0,0,12.00K
141686,MISSISSIPPI,2008,December,EF1,,-90.4368,,-90.4104,0,0,0,0,20.00K
143061,OKLAHOMA,2008,November,EF0,,-96.3883,,-96.3883,2,0,0,0,50.00K
95765,ARKANSAS,2008,May,EF0,,-93.596,,-93.578,0,0,0,0,5.00K
90816,IOWA,2008,May,EF2,,-92.882,,-92.8616,0,0,0,0,300.00K
90824,IOWA,2008,May,EF5,,-92.8616,,-92.5547,50,0,9,0,75.00M
142058,NORTH CAROLINA,2008,November,EF2,,-78.0991,,-78.0495,0,0,0,0,0.00K
124186,NORTH CAROLINA,2008,August,EF0,,-77.93,,-77.93,0,0,0,0,100.00K
140228,MISSISSIPPI,2008,December,EF2,,-90.201,,-90.1059,0,0,0,0,700.00K
90830,IOWA,2008,May,EF2,,-92.5547,,-92.0843,20,0,0,0,25.00M
111690,IOWA,2008,May,EF0,,-92.6822,,-92.6612,0,0,0,0,1.00K
135140,NORTH CAROLINA,2008,November,EF0,,-78.2707,,-78.228,0,0,0,0,75.00K
104852,VIRGINIA,2008,June,EF1,,-77.4868,,-77.4681,0,0,0,0,20.00K
108107,MARYLAND,2008,June,EF0,,-76.9958,,-76.9901,0,0,0,0,2.00K
108113,VIRGINIA,2008,June,EF0,,-78.1554,,-78.1487,0,0,0,0,8.00K
95635,TEXAS,2008,May,EF1,,-94.524,,-94.46,0,0,0,0,400.00K
104046,MARYLAND,2008,June,EF0,,-76.56,,-76.5339,0,0,0,0,400.00K
95763,OKLAHOMA,2008,May,EF0,,-94.707,,-94.701,0,0,0,0,0.00K
95748,ARKANSAS,2008,May,EF1,,-93.312,,-93.276,0,0,0,0,0.00K
95392,ARKANSAS,2008,May,EF1,,-94.026,,-93.955,0,0,0,0,100.00K
95634,TEXAS,2008,May,EF1,,-94.764,,-94.656,0,0,0,0,50.00K
104655,COLORADO,2008,June,EF0,,-102.36,,-102.28,0,0,0,0,5.00K
116914,SOUTH DAKOTA,2008,June,EF1,,-98.45,,-98.4102,0,0,0,0,100.00K
119356,MINNESOTA,2008,June,EF1,,-95.7589,,-95.7455,0,0,0,0,20.00K
119357,MINNESOTA,2008,June,EF1,,-95.7455,,-95.7172,0,0,0,0,50.00K
119422,MINNESOTA,2008,June,EF1,,-95.6053,,-95.5829,1,0,0,0,100.00K
119441,MINNESOTA,2008,June,EF0,,-95.19,,-95.1725,0,0,0,0,5.00K
116807,MISSOURI,2008,June,EF0,,-92.96,,-92.9567,0,0,0,0,0.00K
116810,MISSOURI,2008,June,EF0,,-92.96,,-92.9557,0,0,0,0,0.00K
119973,SOUTH CAROLINA,2008,June,EF0,,-80.24,,-80.24,1,0,0,0,20.00K
120645,SOUTH CAROLINA,2008,June,EF0,,-80.09,,-80.09,0,0,0,0,35.00K
126350,SOUTH DAKOTA,2008,July,EF0,,-99.1,,-99.099,0,0,0,0,0.00K
120185,KANSAS,2008,June,EF0,,-101.7895,,-101.7737,0,0,0,0,0.00K
120197,KANSAS,2008,June,EF1,,-100.5489,,-100.5313,0,0,0,0,85.00K
118239,IOWA,2008,June,EF0,,-95.67,,-95.66,0,0,0,0,0.00K
118260,IOWA,2008,June,EF1,,-95.55,,-95.54,0,0,0,0,5.00K
118262,IOWA,2008,June,EF2,,-95.28,,-95.11,0,0,0,0,300.00K
118264,IOWA,2008,June,EF0,,-95.02,,-95.015,0,0,0,0,0.00K
118265,IOWA,2008,June,EF0,,-94.99,,-94.985,0,0,0,0,0.00K
119188,KANSAS,2008,June,EF1,,-98.5179,,-98.5019,0,0,0,0,65.00K
119191,KANSAS,2008,June,EF0,,-100.047,,-100.0318,0,0,0,0,0.00K
119196,KANSAS,2008,June,EF0,,-100.02,,-99.9982,0,0,0,0,
112472,WYOMING,2008,June,EF0,,-104.92,,-104.92,0,0,0,0,0.00K
118228,IOWA,2008,June,EF0,,-96,,-95.99,0,0,0,0,0.00K
118232,IOWA,2008,June,EF0,,-95.83,,-95.82,0,0,0,0,0.00K
118235,IOWA,2008,June,EF0,,-95.97,,-95.96,0,0,0,0,0.00K
109837,KANSAS,2008,May,EF2,,-99.3943,,-99.3509,0,0,0,0,
109849,KANSAS,2008,May,EF0,,-99.5459,,-99.5639,0,0,0,0,0.00K
110065,TEXAS,2008,June,EF0,,-101.36,,-101.3576,0,0,0,0,11.00K
127553,VIRGINIA,2008,July,EF1,,-77.4245,,-77.424,0,0,0,0,500.00K
110070,OKLAHOMA,2008,June,EF0,,-100.66,,-100.68,0,0,0,0,0.00K
133615,GEORGIA,2008,October,EF0,,-82.56,,-82.56,0,0,0,0,0.00K
109853,KANSAS,2008,May,EF1,,-99.4615,,-99.45,0,0,0,0,
109857,KANSAS,2008,May,EF0,,-99.5526,,-99.5508,0,0,0,0,0.00K
110077,TEXAS,2008,June,EF0,,-100.65,,-100.6337,0,0,0,0,0.00K
109017,OKLAHOMA,2008,May,EF0,,-96.33,,-96.33,0,0,0,0,0.00K
